"A1" "A2" "A3" "B1" "B2" "B3"
"9696" 1779 1901 1684 919 993 1094
"4237" 0 0 0 2 0 0
"23400" 2148 2489 2972 2358 2663 2800
"6390" 2785 1809 1688 4222 5183 5699
"11240" 1887 2584 996 403 751 312
"400743" 0 0 0 0 0 0
"29943" 0 0 0 0 5 19
"51702" 0 0 0 0 0 0
"23569" 5054 2725 2002 542 1053 220
"353238" 23 0 0 0 0 0
"55920" 20430 16397 16471 10987 12548 12820
"55160" 3980 4296 4438 4998 6159 7009
"81569" 0 0 0 0 0 0
"84966" 0 0 0 52 97 63
"127707" 0 0 0 0 0 0
"5081" 0 0 0 0 0 0
"80834" 0 7 4 0 0 0
"8659" 657 649 717 993 1447 1247
"100302276" 0 6 19 0 0 0
"126917" 4310 4442 6817 891 771 864
"23352" 12503 15259 12372 12226 12910 14158
"23065" 1162 1062 1547 3596 3631 4853
"51154" 313 118 160 2438 2772 3780
"246181" 24 40 35 22 16 29
"22977" 19 65 30 37 74 46
"100506730" 70 50 118 151 127 141
"8574" 1183 644 785 2713 2697 3318
"54896" 394 667 487 2792 3059 3492
"832" 10731 8466 7842 13247 15971 17617
"644075" 285 239 192 67 74 123
"644083" 33 29 10 0 1 0
"440574" 1214 943 777 3722 4137 4387
"4681" 50 53 25 207 139 135
"3362" 2 4 2 0 0 0
"255104" 558 559 464 1213 1328 1566
"54546" 0 0 0 0 0 0
"23252" 823 1190 1653 569 693 826
"30814" 0 0 1 0 0 0
"5320" 0 0 0 0 0 0
"5322" 0 0 0 0 0 0
"26279" 10 0 0 0 1 0
"64600" 0 0 0 0 0 0
"391013" 0 0 0 0 0 0
"127733" 106 73 46 2 0 0
"127731" 0 0 0 0 0 0
"339505" 0 0 0 0 0 0
"55450" 62 18 12 7 6 0
"79594" 2226 1591 1436 3057 3367 3013
"163933" 0 0 0 0 0 0
"978" 3875 2023 1720 3325 3129 2967
"65018" 1363 1368 1512 5474 6697 8531
"1650" 8831 6171 6702 12512 15212 19809
"57576" 2 7 8 237 631 398
"400745" 2 0 0 2 0 1
"50809" 7551 7134 7724 7848 8656 10036
"8672" 2394 2809 2766 3767 4929 5287
"100302155" 0 4 0 0 0 0
"1889" 9636 7117 7504 859 983 1192
"100506824" 23 6 17 0 0 0
"100506801" 4 15 14 2 1 0
"84224" 81 93 86 123 216 259
"249" 76 4 74 24 12 77
"5909" 7 18 0 771 871 491
"84196" 2692 3552 3660 3099 3400 4315
"401944" 2 19 13 5 0 8
"3339" 46 20 70 1104 1026 2245
"23436" 0 0 0 0 0 0
"10136" 0 0 0 2 0 0
"29092" 206 123 154 439 378 584
"998" 21841 14470 15911 17174 19915 23932
